Questions,Answer type
What device can be connected to a TV?,device
What app  can be used to play [media type]?,app
What could you do with TV?,action
What could you do with Smart TV Apps?,action
What is another name for [concept]?,concept
Where would you find a [device]?,location
What actions one would do with a [device]?,action
What kinds of things one would do in a [location]?,action
What types of content do you watch on TV?,content type
What device one would use to watch [content type]?,device
What app one would use to [action]?,app
